vehicle_depart;vehicle_id;route_edges
24524.00;added_0;63219 19775652 64075 63251 19775647 19775648 63257
24670.00;added_1;63219 19775652 64075 63251 19775647 19775648 63257 63258 70348659 64086 95608732 64422
24996.00;added_2;64166 64170 64153 70349217 70349218 60141
25015.00;added_3;60140 70349219 64157 64163 64161 60564 61357 89156329 13467379 13467378
25021.00;added_4;63219 19775652 64075 63251 19775647 19775648 63257
25049.00;added_5;63366 63713
25115.00;added_6;19775645 19775646 64071 19775650 19775651 63217
25560.00;added_7;63219 19775652 64075 63251 19775647 19775648 63257
25831.00;added_8;63258 70348659 64086 95608732 64422
26327.00;added_9;63366 63713
26626.00;added_10;63219 19775652 64075 63251 19775647 19775648 63257
26963.00;added_11;19775645 19775646 64071 19775650 19775651 63217
27128.00;added_12;19775645 19775646 64071 19775650 19775651 63217
27561.00;added_13;63219 19775652 64075 63251 19775647 19775648 63257
27564.00;added_14;63219 19775652 64075 63251 19775647 19775648 63257
27773.00;added_15;19775645 19775646 64071 19775650 19775651 63217
28065.00;added_16;63366 63713
28366.00;added_17;19775645 19775646 64071 19775650 19775651 63217
28444.00;added_18;63219 19775652 64075 63251 19775647 19775648 63257
28447.00;added_19;63714 63721
28725.00;added_20;19775645 19775646 64071 19775650 19775651 63217
28943.00;added_21;63258 70348659 64086 95608732 64422
28978.00;added_22;62182 62182.623 64084 19775641 19775640
29036.00;added_23;63219 19775652 64075 63251 19775647 19775648 63257
29044.00;added_24;63219 19775652 64075 63251 19775647 19775648 63257
29112.00;added_25;19775645 19775646 64071 19775650 19775651 63217
29181.00;added_26;63219 19775652 64075 63251 19775647 19775648 63257
29294.00;added_27;63385 69749702 69749701 60278
29641.00;added_28;64166 64170 64153 70349217 70349218 60141
29807.00;added_29;63258 70348659 64086 95608732 64422
29903.00;added_30;64166 64170 64153 70349217 70349218 60141
30220.00;added_31;64166 64170 64153 70349217 70349218 60141
30248.00;added_32;63219 19775652 64075 63251 19775647 19775648 63257
30613.00;added_33;62182 62182.623 64084 19775641 19775640
30621.00;added_34;63219 19775652 64075 63251 19775647 19775648 63257
30743.00;added_35;64166 64170 64153 70349217 70349218 60141
30933.00;added_36;63219 19775652 64075 63251 19775647 19775648 63257
31116.00;added_37;64166 64170 64153 70349217 70349218 60141
31216.00;added_38;63366 63713
31219.00;added_39;19775645 19775646 64071 19775650 19775651 63217
31375.00;added_40;64166 64170 64153 70349217 70349218 60141
31532.00;added_41;19775645 19775646 64071 19775650 19775651 63217
31695.00;added_42;19775645 19775646 64071 19775650 19775651 63217
31741.00;added_43;63366 63713
31787.00;added_44;63714 63721
31803.00;added_45;64166 64170 64153 70349217 70349218 60141
31893.00;added_46;63219 19775652 64075 63251 19775647 19775648 63257
31894.00;added_47;63366 63713
31954.00;added_48;60140 70349219 64157 64163 64161 60564 61357 89156329 13467379 13467378
32051.00;added_49;63219 19775652 64075 63251 19775647 19775648 63257
32057.00;added_50;63714 63721
32132.00;added_51;60267 69749704 63393 63714 63721
32143.00;added_52;63714 63721
32264.00;added_53;63219 19775652 64075 63251 19775647 19775648 63257
32552.00;added_54;63219 19775652 64075 63251 19775647 19775648 63257
32652.00;added_55;64166 64170 64153 70349217 70349218 60141
32947.00;added_56;60140 70349219 64157 64163 64161 60564 61357 89156329 13467379 13467378
33109.00;added_57;64166 64170 64153 70349217 70349218 60141 63219 19775652 64075 63251 19775647 19775648 63257
33252.00;added_58;63366 63713
33471.00;added_59;63219 19775652 64075 63251 19775647 19775648 63257
33524.00;added_60;63219 19775652 64075 63251 19775647 19775648 63257
33602.00;added_61;19775645 19775646 64071 19775650 19775651 63217
33708.00;added_62;63219 19775652 64075 63251 19775647 19775648 63257
33842.00;added_63;63219 19775652 64075 63251 19775647 19775648 63257
33847.00;added_64;19775645 19775646 64071 19775650 19775651 63217
33932.00;added_65;63219 19775652 64075 63251 19775647 19775648 63257
33960.00;added_66;19775645 19775646 64071 19775650 19775651 63217 60140 70349219 64157 64163 64161 60564 61357 89156329 13467379 13467378
33984.00;added_67;63219 19775652 64075 63251 19775647 19775648 63257
34090.00;added_68;19775645 19775646 64071 19775650 19775651 63217
34227.00;added_69;63219 19775652 64075 63251 19775647 19775648 63257
34583.00;added_70;63714 63721
34863.00;added_71;63219 19775652 64075 63251 19775647 19775648 63257
35086.00;added_72;63219 19775652 64075 63251 19775647 19775648 63257
35164.00;added_73;63366 63713
35192.00;added_74;19775645 19775646 64071 19775650 19775651 63217 60140 70349219 64157 64163 64161 60564 61357 89156329 13467379 13467378
35361.00;added_75;60140 70349219 64157 64163 64161 60564 61357 89156329 13467379 13467378
